X = 4.192, Y = -7.519
X = 4.41, Y = -6.838
X = 4.541, Y = -6.432
X = 4.628, Y = -6.162
X = 4.851, Y = -5.467
X = 4.904, Y = -5.3
X = 5.048, Y = -4.849
X = 5.008, Y = -4.974
X = 9.915, Y = -7.251
X = 9.248, Y = -6.946
X = 8.531, Y = -6.618
X = 8.51, Y = -6.609
X = 8.246, Y = -6.488
X = 7.751, Y = -6.261
X = 6.947, Y = -5.892
X = 6.346, Y = -5.616
X = 5.907, Y = -5.415
X = 5.511, Y = -5.234
X = 4.672, Y = -4.85
X = 0.249, Y = -6.836
X = 0.941, Y = -6.565
X = 1.107, Y = -6.501
X = 1.431, Y = -6.376
X = 1.968, Y = -6.169
X = 2.893, Y = -5.812
X = 3.239, Y = -5.679
X = 4.049, Y = -5.367
X = 4.188, Y = -5.313
X = 4.343, Y = -5.253
X = 5.224, Y = -4.914
X = 4.811, Y = -5.072
X = 4.844, Y = -5.06
X = 7.341, Y = -4.444
X = 6.771, Y = -4.579
X = 6.763, Y = -4.581
X = 5.853, Y = -4.797
X = 5.842, Y = -4.8
X = 5.829, Y = -4.803
X = 5.705, Y = -4.832
X = 5.428, Y = -4.898
X = 3.363, Y = 0.722
X = 2.934, Y = 0.63
X = 2.806, Y = 0.602
X = 1.868, Y = 0.401
X = 1.182, Y = 0.254
X = 0.447, Y = 0.096
X = -0.148, Y = -0.032
X = 0.301, Y = -9.964
X = 0.422, Y = -9.836
X = 0.675, Y = -9.569
X = 1.027, Y = -9.197
X = 1.249, Y = -8.963
X = 1.502, Y = -8.695
X = 1.603, Y = -8.588
X = 2.185, Y = -7.974
X = 2.799, Y = -7.325
X = 3.236, Y = -6.863
X = 3.627, Y = -6.451
X = 4.248, Y = -5.794
X = 4.385, Y = -5.649
X = 4.675, Y = -5.343
X = 4.834, Y = -5.176
X = 5.126, Y = -4.866
X = -1.238, Y = 0.527
X = -0.744, Y = 0.316
X = -0.259, Y = 0.11
X = 3.645, Y = -2.932
X = 4.172, Y = -3.736
X = 4.499, Y = -4.235
X = 4.763, Y = -4.639
X = 4.877, Y = -4.813
X = 5.561, Y = -2.584
X = 5.383, Y = -3.351
X = 5.355, Y = -3.474
X = 5.176, Y = -4.241
X = 5.175, Y = -4.244
X = 4.958, Y = -5.181
X = -8.099, Y = -0.883
X = -7.557, Y = -1.603
X = -7.141, Y = -2.156
X = -6.997, Y = -2.348
X = -6.622, Y = -2.845
X = -6.104, Y = -3.533
X = -5.566, Y = -4.248
X = -5.012, Y = -4.984
X = 1.305, Y = -9.841
X = 1.821, Y = -9.165
X = 2.3, Y = -8.538
X = 2.412, Y = -8.391
X = 2.709, Y = -8.002
X = 2.836, Y = -7.836
X = 2.927, Y = -7.717
X = 3.269, Y = -7.269
X = 3.467, Y = -7.009
X = 3.963, Y = -6.359
X = 4.084, Y = -6.2
X = 4.44, Y = -5.734
X = 4.455, Y = -5.715
X = 4.683, Y = -5.416
X = 4.728, Y = -5.357
X = 5.035, Y = -4.954
X = -0.234, Y = 7.225
X = -0.519, Y = 7.09
X = -1.254, Y = 6.747
X = -1.495, Y = 6.634
X = -1.619, Y = 6.576
X = -2.344, Y = 6.238
X = -3.075, Y = 5.898
X = -3.268, Y = 5.808
X = -3.743, Y = 5.586
X = -4.421, Y = 5.269
X = -4.8, Y = 5.093
X = 5.671, Y = -8.126
X = 5.581, Y = -7.706
X = 5.576, Y = -7.682
X = 5.562, Y = -7.615
X = 5.427, Y = -6.985
X = 5.345, Y = -6.602
X = 5.276, Y = -6.284
X = 5.224, Y = -6.043
X = 5.055, Y = -5.256
X = 4.959, Y = -4.809
X = 5.018, Y = -5.082
X = -7.2, Y = -9.461
X = -6.782, Y = -8.613
X = -6.378, Y = -7.794
X = -6.349, Y = -7.735
X = -6.111, Y = -7.252
X = -5.969, Y = -6.963
X = -5.954, Y = -6.932
X = -5.88, Y = -6.781
X = -5.768, Y = -6.555
X = -5.535, Y = -6.083
X = -5.529, Y = -6.07
X = -5.449, Y = -5.908
X = -5.098, Y = -5.199
X = -1.59, Y = -4.567
X = -2.432, Y = -4.674
X = -3.292, Y = -4.783
X = -4.197, Y = -4.898
X = -4.59, Y = -4.948
X = -5.272, Y = -5.035
X = -5.016, Y = -5.002
X = -2.315, Y = -4.223
X = -2.7, Y = -4.334
X = -3.643, Y = -4.607
X = -3.99, Y = -4.707
X = -4.637, Y = -4.895
X = -7.215, Y = 6.233
X = -6.611, Y = 5.897
X = -6.231, Y = 5.686
X = -6.173, Y = 5.654
X = -6.062, Y = 5.592
X = -5.507, Y = 5.282
X = -5.257, Y = 5.143
X = -4.794, Y = 4.886
X = -5.164, Y = 5.091
